PtsOther,Negative Image Side (1=L and 0=R),StartPos (starting position of the avatar),EndPos (end position of the avatar),InitialRT (reaction time for initial response),TotalRT (total time until they lock in response will be 4 seconds if they do not lock in),OutcomePts (Pts received),OutcomeImage (image shown),Piname (name of positive image file),Niname (name of negative image file),Paname (name of positive audio file),Naname (name of negative audio file),Oscillations (# made opposite movement from last)
2,L,-2,3,1381,2405,0,images/PI/2383_Secretary.gif,images/PI/2383_Secretary.gif,images/NI/3181_BatteredFem.gif,sounds/IADSPA/705_RotaryDial.mp3,sounds/IADSNA/290_Fight.mp3,1
0,R,4,0,1183,2351,6,images/NI/2352_2_BloodyKiss.gif,images/PI/2352_1_Kiss.gif,images/NI/2352_2_BloodyKiss.gif,sounds/Freesound/FemaleLaughter1.mp3,sounds/IADSNA/277_FemScream3.mp3,1
0,L,-2,4,1183,2095,2,images/PI/2515_Harvest.gif,images/PI/2515_Harvest.gif,images/PI/2515_Harvest.gif,sounds/IADSPA/810_Beethoven.mp3,sounds/IADSPA/810_Beethoven.mp3,1
0,R,4,1,869,1637,4,images/NI/3010_mutilation.gif,images/PI/2010_Adult.gif,images/NI/3010_mutilation.gif,sounds/Freesound/manlaugh.mp3,sounds/Freesound/KnifeSharpen.mp3,1
0,L,3,3,0,2174,0,images/PI/2058_Baby.gif,images/PI/2058_Baby.gif,images/NI/3350_Infant.gif,sounds/IADSPA/111_MusicBox.mp3,sounds/Freesound/babycry.mp3,0
2,R,2,-1,1305,2073,0,images/PI/8497_CarnivalRide.gif,images/PI/8497_CarnivalRide.gif,images/NI/3500_Attack.gif,sounds/IADSPA/360_RollerCoaster.mp3,sounds/IADSNA/286_Victim.mp3,1
4,L,0,3,981,1765,0,images/PI/2340_Family.gif,images/PI/2340_Family.gif,images/NI/9400_Soldier.gif,sounds/Freesound/Manlaughing_hard.mp3,sounds/IADSNA/706_War.mp3,1
2,L,3,-4,1104,2448,0,images/PI/7620_Jet.gif,images/PI/7620_Jet.gif,images/PI/7620_Jet.gif,sounds/IADSPA/400_Jet.mp3,sounds/IADSPA/400_Jet.mp3,1
0,R,3,1,1386,1979,0,images/PI/4533_AttractiveMan.gif,images/PI/4533_AttractiveMan.gif,images/NI/3120_DeadBody.gif,sounds/IADSPA/815_RocknRoll.mp3,sounds/Freesound/KnifeSharpen.mp3,1
6,L,2,-2,1338,2329,0,images/PI/2250_NeutBaby.gif,images/PI/2250_NeutBaby.gif,images/NI/3301_InjuredChild.gif,sounds/Freesound/GirlLaugh.mp3,sounds/AudioMicro/WomanCrying.mp3,1
0,L,0,-3,1395,2243,2,images/PI/8400_Rafters.gif,images/PI/8400_Rafters.gif,images/PI/8400_Rafters.gif,sounds/Freesound/waterfall.mp3,sounds/Freesound/waterfall.mp3,1
0,L,4,-4,1125,2757,4,images/NI/6821_Gang.gif,images/PI/8380_Athletes.gif,images/NI/6821_Gang.gif,sounds/IADSPA/351_Applause.mp3,sounds/IADSNA/292_MaleScream.mp3,1
0,R,2,2,0,1462,0,images/PI/2030_Woman.gif,images/PI/2030_Woman.gif,images/NI/3061_Mutilation.gif,sounds/Freesound/FemaleLaughter1.mp3,sounds/IADSNA/276_FemScream2.mp3,0
0,R,1,3,637,3069,6,images/NI/9050_PlaneCrash.gif,images/PI/8340_Plane.gif,images/NI/9050_PlaneCrash.gif,sounds/Freesound/Propeller.mp3,sounds/IADSNA/501_PlaneCrash.mp3,2
0,L,-4,-4,0,1408,4,images/NI/2141_GrievingFem.gif,images/PI/2620_Woman.gif,images/NI/2141_GrievingFem.gif,sounds/IADSPA/816_Guitar.mp3,sounds/AudioMicro/WomanCrying.mp3,0
0,L,2,4,1409,2209,2,images/PI/2791_Balloons.gif,images/PI/2791_Balloons.gif,images/PI/2791_Balloons.gif,sounds/Freesound/Organ2.mp3,sounds/Freesound/Organ2.mp3,1
0,R,-4,2,931,2690,2,images/NI/9410_Soldier.gif,images/PI/2150_Baby.gif,images/NI/9410_Soldier.gif,sounds/IADSPA/111_MusicBox.mp3,sounds/Freesound/panic&pain.mp3,1
0,R,-1,4,814,1966,6,images/NI/9911_CarAccident.gif,images/PI/7140_Bus.gif,images/NI/9911_CarAccident.gif,sounds/IADSPA/820_FunkMusic.mp3,sounds/IADSNA/424_CarWreck.mp3,1
0,L,-3,-3,0,1242,2,images/NI/9420_Soldier.gif,images/PI/8080_Sailing.gif,images/NI/9420_Soldier.gif,sounds/SimplyTheBest/oceanwaves.mp3,sounds/IADSNA/706_War.mp3,0
0,L,-1,3,2048,2817,0,images/PI/8461_HappyTeens.gif,images/PI/8461_HappyTeens.gif,images/NI/9433_DeadMan.gif,sounds/IADSPA/226_Laughing.mp3,sounds/Freesound/Fall_Screaming.mp3,1
0,L,-3,4,872,2632,2,images/PI/1540_Cat.gif,images/PI/1540_Cat.gif,images/PI/1540_Cat.gif,sounds/Freesound/catpurring.mp3,sounds/Freesound/catpurring.mp3,1
0,R,-2,4,681,1994,6,images/NI/9520_Kids.gif,images/PI/2216_Children.gif,images/NI/9520_Kids.gif,sounds/IADSPA/112_KidsinPark.mp3,sounds/IADSNA/712_Buzzer.mp3,1
0,L,1,-3,1088,1935,2,images/NI/3530_Attack.gif,images/PI/2370_ThreeMen.gif,images/NI/3530_Attack.gif,sounds/IADSPA/221_MaleLaugh.mp3,sounds/IADSNA/286_Victim.mp3,1
0,L,1,4,1050,1899,2,images/PI/2510_ElderlyWoman.gif,images/PI/2510_ElderlyWoman.gif,images/PI/2510_ElderlyWoman.gif,sounds/Freesound/foxtrot.mp3,sounds/Freesound/foxtrot.mp3,1
0,L,4,-4,1017,2681,6,images/NI/9910_AutoAccident.gif,images/PI/2389_Teens.gif,images/NI/9910_AutoAccident.gif,sounds/IADSPA/815_RocknRoll.mp3,sounds/IADSNA/424_Carwreck.mp3,1
0,R,-1,4,897,2305,4,images/NI/3064_Mutilation.gif,images/PI/2560_Picnic.gif,images/NI/3064_Mutilation.gif,sounds/IADSPA/230_Giggling.mp3,sounds/IADSNA/276_FemScream2.mp3,1
0,L,-1,-4,1117,1981,2,images/NI/3230_DyingMan.gif,images/PI/2510_ElderlyWoman.gif,images/NI/3230_DyingMan.gif,sounds/IADSPA/151_Cardinal.mp3,sounds/Freesound/EKG.mp3,1
0,R,-4,-4,0,1953,0,images/PI/2020_Adult.gif,images/PI/2020_Adult.gif,images/NI/3060_Mutilation.gif,sounds/Freesound/Manlaughing_hard.mp3,sounds/Freesound/allinpain.mp3,0
0,L,0,-4,953,2041,6,images/NI/3130_Mutilation.gif,images/PI/8130_PoleVaulter.gif,images/NI/3130_Mutilation.gif,sounds/IADSPA/352_SportsCrowd.mp3,sounds/Freesound/mandying.mp3,1
0,L,-1,-4,1168,2480,2,images/PI/2580_Chess.gif,images/PI/2580_Chess.gif,images/PI/2580_Chess.gif,sounds/Freesound/mansighs.mp3,sounds/Freesound/mansighs.mp3,1
0,R,1,3,682,1289,4,images/NI/6560_Attack.gif,images/PI/4603_Romance.gif,images/NI/6560_Attack.gif,sounds/IADSPA/230_Giggling.mp3,sounds/IADSNA/279_Attack1.mp3,1
6,R,2,4,962,1618,0,images/PI/2501_Couple.gif,images/PI/2501_Couple.gif,images/NI/9421_Soldier.gif,sounds/Freesound/Gullsbythesea.mp3,sounds/AudioMicro/ManCrying.mp3,1
0,L,1,4,1473,2097,0,images/PI/2485_Man.gif,images/PI/2485_Man.gif,images/NI/3080_Mutilation.gif,sounds/IADSPA/811_Bach.mp3,sounds/IADSNA/287_CardiacArrest.mp3,1
0,R,0,3,971,1772,2,images/NI/3102_BurnVictim.gif,images/PI/8280_Diver.gif,images/NI/3102_BurnVictim.gif,sounds/PartnersinRhyme/Cheer.mp3,sounds/Freesound/Anguish.mp3,1
0,R,0,-2,1221,1893,0,images/PI/2208_Bride.gif,images/PI/2208_Bride.gif,images/NI/9921_Fire.gif,sounds/IADSPA/820_FunkMusic.mp3,sounds/Freesound/Hellfire.mp3,1
