Time,Event,Image,Sound
0,program_start,,
982,trial,1,
982,program_decision_screen,,
2363,response_R,-1,
2571,response_R,0,
2731,response_R,1,
2875,response_R,2,
2987,response_R,3,
3387,response_Lock,3,
5071,program_stimulus_image,images/PI/2383_Secretary.gif,
5207,program_stimulus_sound,,sounds/IADSPA/705_RotaryDial.mp3
11211,program_points_screen,,
11267,program_stimulus_sound,,sounds/reward/smallReward.mp3
13268,program_fixation_screen,,
14268,trial,2,
14268,program_decision_screen,,
15451,response_L,3,
15643,response_L,2,
15755,response_L,1,
15915,response_L,0,
16619,response_Lock,0,
18374,program_stimulus_image,images/NI/2352_2_BloodyKiss.gif,
18447,program_stimulus_sound,,sounds/IADSNA/277_FemScream3.mp3
24448,program_points_screen,,
24498,program_stimulus_sound,,sounds/reward/bigReward.mp3
26500,program_fixation_screen,,
27500,trial,3,
27500,program_decision_screen,,
28683,response_R,-1,
28891,response_R,0,
29050,response_R,1,
29179,response_R,2,
29307,response_R,3,
29419,response_R,4,
29595,response_Lock,4,
31585,program_stimulus_image,images/PI/2515_Harvest.gif,
31653,program_stimulus_sound,,sounds/IADSPA/810_Beethoven.mp3
37655,program_points_screen,,
37707,program_stimulus_sound,,sounds/reward/bigReward.mp3
39709,program_fixation_screen,,
40710,trial,4,
40710,program_decision_screen,,
41579,response_L,3,
41691,response_L,2,
41979,response_L,1,
42347,response_Lock,1,
44798,program_stimulus_image,images/NI/3010_mutilation.gif,
44868,program_stimulus_sound,,sounds/Freesound/KnifeSharpen.mp3
50869,program_points_screen,,
50916,program_stimulus_sound,,sounds/reward/bigReward.mp3
52916,program_fixation_screen,,
53917,trial,5,
53917,program_decision_screen,,
56091,response_Lock,3,
57981,program_stimulus_image,images/PI/2058_Baby.gif,
58038,program_stimulus_sound,,sounds/IADSPA/111_MusicBox.mp3
64041,program_points_screen,,
64087,program_stimulus_sound,,sounds/reward/smallReward.mp3
66088,program_fixation_screen,,
67090,trial,6,
67090,program_decision_screen,,
68395,response_L,1,
68571,response_L,0,
68747,response_L,-1,
69163,response_Lock,-1,
71149,program_stimulus_image,images/PI/8497_CarnivalRide.gif,
71196,program_stimulus_sound,,sounds/IADSPA/360_RollerCoaster.mp3
77198,program_points_screen,,
77243,program_stimulus_sound,,sounds/reward/smallReward.mp3
79244,program_fixation_screen,,
80245,trial,7,
80245,program_decision_screen,,
81226,response_R,1,
81419,response_R,2,
81611,response_R,3,
82010,response_Lock,3,
84402,program_stimulus_image,images/PI/2340_Family.gif,
84467,program_stimulus_sound,,sounds/Freesound/Manlaughing_hard.mp3
90469,program_points_screen,,
90514,program_stimulus_sound,,sounds/reward/smallReward.mp3
92515,program_fixation_screen,,
93515,trial,8,
93515,program_decision_screen,,
94619,response_L,2,
94795,response_L,1,
94938,response_L,0,
95211,response_L,-1,
95386,response_L,-2,
95466,response_L,-3,
95627,response_L,-4,
95963,response_Lock,-4,
97616,program_stimulus_image,images/PI/7620_Jet.gif,
97672,program_stimulus_sound,,sounds/IADSPA/400_Jet.mp3
103674,program_points_screen,,
103719,program_stimulus_sound,,sounds/reward/smallReward.mp3
105720,program_fixation_screen,,
106720,trial,9,
106720,program_decision_screen,,
108106,response_L,2,
108314,response_L,1,
108699,response_Lock,1,
110847,program_stimulus_image,images/PI/4533_AttractiveMan.gif,
110904,program_stimulus_sound,,sounds/IADSPA/815_RocknRoll.mp3
116906,program_points_screen,,
