fluid reward multiplier,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,
0 run #,1 left reward,2 right reward,3 stim left image,4 stim left sound,5 stim right image,6 stim right sound,7 itd (sec),8 decision (sec),9 stim  (sec),10 points (sec),5-Nov,4-Dec,13 -2,14 -1,15 0,16 1,17 2,18 3,19 4,20 startPoint,21 Left is aversive
1,2,0,images/NI/3181_BatteredFem.gif,sounds/IADSNA/290_Fight.mp3,images/PI/2383_Secretary.gif,sounds/IADSPA/705_RotaryDial.mp3,1,4,6,2,L,L,L,L,R,R,R,R,R,-2,1
2,0,6,images/PI/2352_1_Kiss.gif,sounds/Freesound/FemaleLaughter1.mp3,images/NI/2352_2_BloodyKiss.gif,sounds/IADSNA/277_FemScream3.mp3,1,4,6,2,L,L,L,R,R,L,R,R,R,4,0
3,0,2,images/PI/2515_Harvest.gif,sounds/IADSPA/810_Beethoven.mp3,images/PI/2515_Harvest.gif,sounds/IADSPA/810_Beethoven.mp3,1,4,6,2,L,L,L,R,L,L,R,R,R,-2,3
4,0,4,images/PI/2010_Adult.gif,sounds/Freesound/manlaugh.mp3,images/NI/3010_mutilation.gif,sounds/Freesound/KnifeSharpen.mp3,1,4,6,2,L,R,R,L,L,R,L,L,R,4,0
5,0,0,images/NI/3350_Infant.gif,sounds/Freesound/babycry.mp3,images/PI/2058_Baby.gif,sounds/IADSPA/111_MusicBox.mp3,1,4,6,2,L,L,L,L,L,R,R,R,R,3,1
6,0,2,images/PI/8497_CarnivalRide.gif,sounds/IADSPA/360_RollerCoaster.mp3,images/NI/3500_Attack.gif,sounds/IADSNA/286_Victim.mp3,1,4,6,2,L,L,L,L,R,R,R,R,R,2,0
7,4,0,images/NI/9400_Soldier.gif,sounds/IADSNA/706_War.mp3,images/PI/2340_Family.gif,sounds/Freesound/Manlaughing_hard.mp3,1,4,6,2,L,L,R,R,R,L,L,R,R,0,1
8,2,0,images/PI/7620_Jet.gif,sounds/IADSPA/400_Jet.mp3,images/PI/7620_Jet.gif,sounds/IADSPA/400_Jet.mp3,1,4,6,2,R,L,L,L,L,R,R,R,L,3,3
9,0,0,images/PI/4533_AttractiveMan.gif,sounds/IADSPA/815_RocknRoll.mp3,images/NI/3120_DeadBody.gif,sounds/Freesound/KnifeSharpen.mp3,1,4,6,2,L,R,L,R,L,L,R,L,R,3,0
10,6,0,images/NI/3301_InjuredChild.gif,sounds/AudioMicro/WomanCrying.mp3,images/PI/2250_NeutBaby.gif,sounds/Freesound/GirlLaugh.mp3,1,4,6,2,L,L,R,L,R,R,L,R,R,2,1
11,2,0,images/PI/8400_Rafters.gif,sounds/Freesound/waterfall.mp3,images/PI/8400_Rafters.gif,sounds/Freesound/waterfall.mp3,1,4,6,2,L,L,L,R,L,L,R,R,R,0,3
12,4,0,images/NI/6821_Gang.gif,sounds/IADSNA/292_MaleScream.mp3,images/PI/8380_Athletes.gif,sounds/IADSPA/351_Applause.mp3,1,4,6,2,L,L,L,R,R,L,R,R,R,4,1
13,0,0,images/PI/2030_Woman.gif,sounds/Freesound/FemaleLaughter1.mp3,images/NI/3061_Mutilation.gif,sounds/IADSNA/276_FemScream2.mp3,1,4,6,2,L,L,R,L,L,R,L,R,R,2,0
14,0,6,images/PI/8340_Plane.gif,sounds/Freesound/Propeller.mp3,images/NI/9050_PlaneCrash.gif,sounds/IADSNA/501_PlaneCrash.mp3,1,4,6,2,L,L,L,R,L,L,R,R,R,1,0
15,4,0,images/NI/2141_GrievingFem.gif,sounds/AudioMicro/WomanCrying.mp3,images/PI/2620_Woman.gif,sounds/IADSPA/816_Guitar.mp3,1,4,6,2,L,L,L,L,R,R,R,R,R,-4,1
16,0,2,images/PI/2791_Balloons.gif,sounds/Freesound/Organ2.mp3,images/PI/2791_Balloons.gif,sounds/Freesound/Organ2.mp3,1,4,6,2,L,L,L,L,R,R,R,R,R,2,3
17,0,2,images/PI/2150_Baby.gif,sounds/IADSPA/111_MusicBox.mp3,images/NI/9410_Soldier.gif,sounds/Freesound/panic&pain.mp3,1,4,6,2,R,R,L,R,L,L,R,L,L,-4,0
18,0,6,images/PI/7140_Bus.gif,sounds/IADSPA/820_FunkMusic.mp3,images/NI/9911_CarAccident.gif,sounds/IADSNA/424_CarWreck.mp3,1,4,6,2,L,L,L,L,R,R,R,R,R,-1,0
19,2,0,images/NI/9420_Soldier.gif,sounds/IADSNA/706_War.mp3,images/PI/8080_Sailing.gif,sounds/SimplyTheBest/oceanwaves.mp3,1,4,6,2,L,L,R,R,L,L,L,R,R,-3,1
20,0,0,images/NI/9433_DeadMan.gif,sounds/Freesound/Fall_Screaming.mp3,images/PI/8461_HappyTeens.gif,sounds/IADSPA/226_Laughing.mp3,1,4,6,2,L,L,L,L,R,R,R,R,R,-1,1
21,0,2,images/PI/1540_Cat.gif,sounds/Freesound/catpurring.mp3,images/PI/1540_Cat.gif,sounds/Freesound/catpurring.mp3,1,4,6,2,L,R,L,L,L,R,R,L,R,-3,3
22,0,6,images/PI/2216_Children.gif,sounds/IADSPA/112_KidsinPark.mp3,images/NI/9520_Kids.gif,sounds/IADSNA/712_Buzzer.mp3,1,4,6,2,L,L,R,L,L,R,L,R,R,-2,0
23,2,0,images/NI/3530_Attack.gif,sounds/IADSNA/286_Victim.mp3,images/PI/2370_ThreeMen.gif,sounds/IADSPA/221_MaleLaugh.mp3,1,4,6,2,L,L,L,L,R,R,R,R,R,1,1
24,0,2,images/PI/2510_ElderlyWoman.gif,sounds/Freesound/foxtrot.mp3,images/PI/2510_ElderlyWoman.gif,sounds/Freesound/foxtrot.mp3,1,4,6,2,L,L,R,R,R,L,L,R,R,1,3
