Original File Name:,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\data/AAC-AAXXX-Admin_RA-run_1-2014_Aug_19_1533.csv,Time:,2014_Aug_19_1533,Parameter File:,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\T1000_AAC_Schedule1.csv,Post-question file:,T1000_AAC_PostQuestions.csv,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('FIXATION_ONSET', 3), ('DECISION_ONSET', 4), ('SELECTOR_MOVEMENT', 5), ('FINAL_LOCATION', 6), ('OUTCOME_SIDE', 7), ('NEGATIVE_OUTCOME_SHOWN', 8), ('POSITIVE_OUTCOME_SHOWN', 9), ('POINTS_AWARDED', 10), ('TOTAL_POINTS', 11), ('VAS_RATING', 12), ('POST_RATING', 13)], For ratings the trial number is negative and used to identify the question being rated.  VAS ratings are in the order pleasant-unpleasant-intense and are from 0 (not at all) to 100 (very much) 
trial_number,trial_type,event_code,absolute_time,response_time,response,result
NA,NA,1,-0.00491760605655,NA,NA,NA
NA,NA,2,4.16460324603,4.16952085208,NA,NA
0,10204,3,4.180081905,NA,NA,NA
0,10204,4,7.18513302489,NA,NA,NA
0,10204,6,11.1696634891,NA,NA,4.0
0,10204,7,11.1922998732,-1,NA,1
0,10204,9,11.1922998732,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/images/PI/2383_Secretary.gif \\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/sounds/IADSPA/705_RotaryDial.aiff
0,10204,10,17.2042119289,NA,NA,0.0
0,10204,11,17.2042119289,NA,NA,0.0
1,01064,3,19.188303624,NA,NA,NA
1,01064,4,30.1731077844,NA,NA,NA
1,01064,5,31.3806527326,1.20754494818,-1,3.0
1,01064,5,31.524663961,1.35155617657,-1,2.0
1,01064,5,31.6688556578,1.49574787336,-1,1.0
1,01064,5,31.8046052531,1.63149746873,-1,0.0
1,01064,5,31.9329730347,1.75986525025,-1,-1.0
1,01064,5,32.0765817016,1.90347391718,-1,-2.0
1,01064,5,32.2126905232,2.03958273877,-1,-3.0
1,01064,5,32.3329035842,2.15979579985,-1,-4.0
1,01064,6,32.4686298014,2.295522017,1,-4.0
1,01064,6,34.1696557914,NA,NA,-4.0
1,01064,7,34.1803111255,NA,NA,-1
1,01064,9,34.1803111255,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/images/PI/2352_1_Kiss.gif \\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/sounds/Freesound/FemaleLaughter1.aiff
1,01064,10,40.1923318044,NA,NA,0.0
1,01064,11,40.1923318044,NA,NA,0.0
2,00024,3,42.1931095577,NA,NA,NA
2,00024,4,49.1880752587,NA,NA,NA
2,00024,5,52.340378911,3.15230365221,-1,3.0
2,00024,5,52.645263903,3.45718864423,1,4.0
2,00024,6,52.9166772786,3.72860201982,1,4.0
2,00024,6,53.1696677656,NA,NA,4.0
2,00024,7,53.1785092924,-1,NA,1
2,00024,9,53.1785092924,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/images/PI/2515_Harvest.gif \\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/sounds/IADSPA/810_Beethoven.aiff
2,00024,10,59.1886426081,NA,NA,2.0
2,00024,11,59.1886426081,NA,NA,2.0
3,01044,3,61.1746159644,NA,NA,NA
3,01044,4,69.1879133218,NA,NA,NA
3,01044,5,70.7162378822,1.52832456034,-1,3.0
3,01044,5,70.9162670194,1.72835369757,-1,2.0
3,01044,5,71.1322241335,1.94431081167,-1,1.0
3,01044,5,71.3402198251,2.15230650322,-1,0.0
3,01044,5,71.5642170493,2.37630372749,-1,-1.0
3,01044,5,71.7802793654,2.59236604355,-1,-2.0
3,01044,5,72.0122559735,2.82434265166,-1,-3.0
3,01044,5,72.2362477808,3.04833445902,-1,-4.0
3,01044,6,72.4043548211,3.2164414993,1,-4.0
3,01044,6,73.1696626338,NA,NA,-4.0
3,01044,7,73.1780745146,NA,NA,-1
3,01044,9,73.1780745146,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/images/PI/2010_Adult.gif \\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/sounds/Freesound/manlaugh.aiff
3,01044,10,79.1881163132,NA,NA,0.0
3,01044,11,79.1881163132,NA,NA,2.0
4,10004,3,81.174364506,NA,NA,NA
4,10004,4,86.1827652679,NA,NA,NA
4,10004,6,87.6440262831,1.4612610152,1,4.0
4,10004,6,90.1696620636,NA,NA,4.0
4,10004,7,90.1897761664,-1,NA,1
4,10004,9,90.1897761664,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/images/PI/2058_Baby.gif \\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/sounds/IADSPA/111_MusicBox.aiff
4,10004,10,96.1841269063,NA,NA,0.0
4,10004,11,96.1841269063,NA,NA,2.0
5,01024,3,98.1859521177,NA,NA,NA
5,01024,4,99.1876513148,NA,NA,NA
5,01024,5,100.292041886,1.10439057129,-1,3.0
5,01024,5,100.788026678,1.6003753629,-1,2.0
5,01024,5,100.932051306,1.74439999099,-1,1.0
5,01024,5,101.083937001,1.89628568635,-1,0.0
5,01024,5,101.22797845,2.04032713536,-1,-1.0
5,01024,5,101.364121199,2.17646988387,-1,-2.0
5,01024,5,101.644057929,2.45640661444,-1,-3.0
5,01024,5,101.93249093,2.74483961547,-1,-4.0
5,01024,6,102.283938484,3.09628716887,1,-4.0
5,01024,6,103.169657217,NA,NA,-4.0
5,01024,7,103.177908871,NA,NA,-1
