Original File Name:,T:\BehavioralTasks\StimTool\ApproachAvoidanceConflict\data/AAC-AAXXX-Admin_RA-run_P-2014_Sep_26_1512.csv,Time:,2014_Sep_26_1512,Parameter File:,T:\BehavioralTasks\StimTool\ApproachAvoidanceConflict\T1000_AAC_ScheduleP.csv,Post-question file:,T1000_AAC_PostQuestions.csv,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('FIXATION_ONSET', 3), ('DECISION_ONSET', 4), ('SELECTOR_MOVEMENT', 5), ('FINAL_LOCATION', 6), ('OUTCOME_SIDE', 7), ('NEGATIVE_OUTCOME_SHOWN', 8), ('POSITIVE_OUTCOME_SHOWN', 9), ('POINTS_AWARDED', 10), ('TOTAL_POINTS', 11), ('VAS_RATING', 12), ('POST_RATING', 13), ('TASK_END', 99)], For ratings the trial number is negative and used to identify the question being rated.  VAS ratings are in the order pleasant-unpleasant-intense and are from 0 (not at all) to 100 (very much) 
trial_number,trial_type,event_code,absolute_time,response_time,response,result
NA,NA,1,-0.00498753495049,NA,NA,NA
-1,NA,12,0.879856648273,0.712874492398,50,NA
-2,NA,12,0.879856648273,0.712874492398,50,NA
-3,NA,12,0.879856648273,0.712874492398,50,NA
NA,NA,2,106.855332758,106.860320293,NA,NA
0,01043,3,106.872879152,NA,NA,NA
0,01043,4,107.87732441,NA,NA,NA
0,01043,5,109.397693771,1.5203693615,-1,2.0
0,01043,5,109.587230753,1.70990634349,-1,1.0
0,01043,5,109.806403396,1.92907898664,-1,0.0
0,01043,5,109.988084096,2.11075968633,-1,-1.0
0,01043,5,110.186468698,2.30914428888,-1,-2.0
0,01043,5,110.357152656,2.47982824629,-1,-3.0
0,01043,5,110.54561691,2.66829250054,-1,-4.0
0,01043,5,110.836321354,2.9589969446,1,-3.0
0,01043,5,111.034721355,3.15739694517,1,-2.0
0,01043,6,111.241079558,3.36375514825,1,-2.0
0,01043,7,111.87819953,NA,NA,-1
0,01043,9,111.87819953,NA,NA,T:\BehavioralTasks\StimTool\ApproachAvoidanceConflict\media/images/PI/8496_WaterSlide.gif T:\BehavioralTasks\StimTool\ApproachAvoidanceConflict\media/sounds/IADSPA/360_RollerCoaster.aiff
0,01043,10,117.914868046,NA,NA,0.0
0,01043,11,117.914868046,NA,NA,0.0
1,10002,3,119.876448556,NA,NA,NA
1,10002,4,120.87824609,NA,NA,NA
1,10002,5,121.977819126,1.09957303538,-1,1.0
1,10002,5,122.336950106,1.45870401594,-1,0.0
1,10002,5,122.619815132,1.74156904209,-1,-1.0
1,10002,5,122.761679156,1.88343306596,-1,-2.0
1,10002,5,122.890608489,2.01236239867,-1,-3.0
1,10002,6,123.128723978,2.25047788816,1,-3.0
1,10002,7,124.875602766,NA,NA,-1
1,10002,8,124.875602766,NA,NA,T:\BehavioralTasks\StimTool\ApproachAvoidanceConflict\media/images/NI/9420_Soldier.gif T:\BehavioralTasks\StimTool\ApproachAvoidanceConflict\media/sounds/IADSNA/706_War.aiff
NA,NA,99,129.481005413,NA,NA,NA
