Original File Name:,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\data/AAC-RTK-Admin_RA-run_1-2014_Aug_05_1011.csv,Time:,2014_Aug_05_1011,Parameter File:,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\T1000_AAC_Schedule1.csv,Post-question file:,T1000_AAC_PostQuestions.csv,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('FIXATION_ONSET', 3), ('DECISION_ONSET', 4), ('SELECTOR_MOVEMENT', 5), ('FINAL_LOCATION', 6), ('OUTCOME_SIDE', 7), ('NEGATIVE_OUTCOME_SHOWN', 8), ('POSITIVE_OUTCOME_SHOWN', 9), ('POINTS_AWARDED', 10), ('TOTAL_POINTS', 11), ('VAS_RATING', 12), ('POST_RATING', 13)], For ratings the trial number is negative and used to identify the question being rated.  VAS ratings are in the order pleasant-unpleasant-intense and are from 0 (not at all) to 100 (very much) 
trial_number,trial_type,event_code,absolute_time,response_time,response,result
NA,NA,1,4.21676524525,NA,NA,NA
NA,NA,2,7.88111289026,3.66434764501,NA,NA
0,10204,3,7.89580426399,NA,NA,NA
0,10204,4,10.9013366265,NA,NA,NA
0,10204,6,12.2339980595,1.33266143299,1,4.0
0,10204,6,14.8862342668,NA,NA,4.0
0,10204,7,14.9081140455,-1,NA,1
0,10204,9,14.9081140455,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/images/PI/2383_Secretary.gif \\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/sounds/IADSPA/705_RotaryDial.aiff
0,10204,10,20.9379690052,NA,NA,0.0
0,10204,11,20.9379690052,NA,NA,0.0
1,01064,3,22.8915059593,NA,NA,NA
1,01064,4,33.8959813436,NA,NA,NA
1,01064,5,34.6993734994,0.80339215578,-1,3.0
1,01064,5,34.9180880628,1.02210671923,-1,2.0
1,01064,5,35.1786403385,1.28265899493,-1,1.0
1,01064,5,35.3010133371,1.40503199348,-1,0.0
1,01064,5,35.5912585245,1.6952771809,-1,-1.0
1,01064,5,35.7800312382,1.88404989465,-1,-2.0
1,01064,5,35.9490843244,2.05310298078,-1,-3.0
1,01064,5,36.1300607698,2.23407942626,-1,-4.0
1,01064,6,36.3399195204,2.44393817686,1,-4.0
1,01064,6,37.886226201,NA,NA,-4.0
1,01064,7,37.909079001,NA,NA,-1
1,01064,9,37.909079001,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/images/PI/2352_1_Kiss.gif \\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/sounds/Freesound/FemaleLaughter1.aiff
1,01064,10,43.9197899334,NA,NA,0.0
1,01064,11,43.9197899334,NA,NA,0.0
2,00024,3,45.9030406968,NA,NA,NA
2,00024,4,52.9025164239,NA,NA,NA
2,00024,6,53.7833282916,0.880811867784,1,4.0
2,00024,6,56.8863508533,NA,NA,4.0
